Package,Version
abind,1.4-5
argparser,0.7.1
askpass,1.1
assertthat,0.2.1
backports,1.4.1
base64enc,0.1-3
bit,4.0.4
bit64,4.0.5
blob,1.2.2
boot,1.3-28
broom,0.7.11
bslib,0.3.1
cachem,1.0.6
callr,3.7.0
car,3.0-12
carData,3.0-5
caret,6.0-90
cellranger,1.1.0
class,7.3-19
cli,3.1.0
clipr,0.7.1
codetools,0.2-18
colorspace,2.0-2
commonmark,1.7
conquer,1.2.1
corrplot,0.92
cowplot,1.1.1
cpp11,0.4.2
crayon,1.4.2
curl,4.3.2
data.table,1.14.2
DBI,1.1.2
dbplyr,2.1.1
digest,0.6.29
dplyr,1.0.7
dtplyr,1.2.0
e1071,1.7-9
ellipsis,0.3.2
evaluate,0.14
fansi,0.5.0
farver,2.1.0
fastmap,1.1.0
fontawesome,0.2.2
forcats,0.5.1
foreach,1.5.1
foreign,0.8-81
fs,1.5.2
future,1.23.0
future.apply,1.8.1
gargle,1.2.0
generics,0.1.1
ggplot2,3.3.5
ggpubr,0.4.0
ggrepel,0.9.1
ggsci,2.9
ggsignif,0.6.3
globals,0.14.0
glue,1.6.0
googledrive,2.0.0
googlesheets4,1.0.0
gower,0.2.2
gridExtra,2.3
gtable,0.3.0
haven,2.4.3
highr,0.9
hms,1.1.1
htmltools,0.5.2
httpuv,1.6.5
httr,1.4.2
ids,1.0.1
ipred,0.9-12
isoband,0.2.5
iterators,1.0.13
jquerylib,0.1.4
jsonlite,1.7.2
KernSmooth,2.23-20
knitr,1.37
labeling,0.4.2
later,1.3.0
lattice,0.20-45
lava,1.6.10
lifecycle,1.0.1
listenv,0.8.0
lme4,1.1-27.1
lubridate,1.8.0
magrittr,2.0.1
maptools,1.1-2
MASS,7.3-54
Matrix,1.4-0
MatrixModels,0.5-0
matrixStats,0.61.0
mgcv,1.8-38
mime,0.12
minqa,1.2.4
ModelMetrics,1.2.2.2
modelr,0.1.8
munsell,0.5.0
nlme,3.1-153
nloptr,1.2.2.3
nnet,7.3-16
numDeriv,2016.8-1.1
openssl,1.4.6
parallelly,1.30.0
pbkrtest,0.5.1
pillar,1.6.4
pkgconfig,2.0.3
plyr,1.8.6
polynom,1.4-0
prettyunits,1.1.1
pROC,1.18.0
processx,3.5.2
prodlim,2019.11.13
progress,1.2.2
progressr,0.10.0
promises,1.2.0.1
proxy,0.4-26
ps,1.6.0
purrr,0.3.4
quantreg,5.86
R6,2.5.1
rappdirs,0.3.3
RColorBrewer,1.1-2
Rcpp,1.0.7
RcppArmadillo,0.10.7.5.0
RcppEigen,0.3.3.9.1
readr,2.1.1
readxl,1.3.1
recipes,0.1.17
rematch,1.0.1
rematch2,2.1.2
renv,0.15.0
reprex,2.0.1
reshape2,1.4.4
rlang,0.4.12
rmarkdown,2.11
rpart,4.1-15
rstatix,0.7.0
rstudioapi,0.13
rvest,1.0.2
sass,0.4.0
scales,1.1.1
selectr,0.4-2
shiny,1.7.1
snow,0.4-4
sourcetools,0.1.7
sp,1.4-6
SparseM,1.81
SQUAREM,2021-2022.1
stringi,1.7.6
stringr,1.4.0
survival,3.2-13
sys,3.4
tibble,3.1.6
tidyr,1.1.4
tidyselect,1.1.1
tidyverse,1.3.1
timeDate,3043.102
tinytex,0.36
tzdb,0.2.0
utf8,1.2.2
uuid,1.0-3
vctrs,0.3.8
viridisLite,0.4.0
vroom,1.5.7
withr,2.4.3
xfun,0.29
xml2,1.3.3
xtable,1.8-4
yaml,2.2.1
base,4.1.2
boot,1.3-28
class,7.3-19
cluster,2.1.2
codetools,0.2-18
compiler,4.1.2
datasets,4.1.2
foreign,0.8-81
graphics,4.1.2
grDevices,4.1.2
grid,4.1.2
KernSmooth,2.23-20
lattice,0.20-45
MASS,7.3-54
Matrix,1.4-0
methods,4.1.2
mgcv,1.8-38
nlme,3.1-153
nnet,7.3-16
parallel,4.1.2
rpart,4.1-15
spatial,7.3-14
splines,4.1.2
stats,4.1.2
stats4,4.1.2
survival,3.2-13
tcltk,4.1.2
tools,4.1.2
utils,4.1.2
